"CAPITULO 25 SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS",2867
"CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES; PARTESDE ESTOS ARTICULOS, DE METALES COMUNES",2831
CAPITULO 32 EXTRACTOS CURTIENTES O TINTOREOS; TANINOS Y SUSDERIVADOS; PIGMENTOS Y DEMAS MATERIAS COLORANTES;  PINTURAS Y BARNICES; MASTIQUES; TINTAS,2816
"CAPITULO 42 MANUFACTURAS DE CUERO; ARTICULOS  DE GUARNICIONERIA O DE TALABARTERIA;ARTICULOS DE VIAJE, BOLSOS DE MANO (CARTERAS)  Y CONTINENTES SIMILARES; MANUFACTURAS DE TRIPA",2565
"CAPITULO 44 MADERA, CARBON VEGETAL Y MANUFACTURAS DE MADERA",2552
"CAPITULO 7 LEGUMBRES Y HORTALIZAS, PLANTAS, RAICES YTUBERCULOS ALIMENTICIOS.",2497
"CAPITULO 27 COMBUSTIBLES MINERALES, ACEITES MINERALES  Y PRODUCTOS DE SU DESTILACION; MATERIAS BITUMINOSAS; CERAS MINERALES.",2387
CAPITULO 96 MANUFACTURAS DIVERSAS,2336
CAPITULO 29PRODUCTOS QUIMICOS ORGANICOS,2256
CAPITULO 83 MANUFACTURAS DIVERSAS DE METALES COMUNES.,2179
CAPITULO 8FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS (CITRICOS)  O DE MELONES,2131
"CAPITULO 76 En este Capitulo se entiende pora.)Barras  b.)Perfiles  c)Alambre  d.) Chapas, hojas y tiras  e.)tubos",1963
CAPITULO 70VIDRIO Y MANUFACTURAS DE VIDRIO,1844
Capitulos 72 METALES COMUNES Y MANUFACTURAS DE ESTOS METALES.,1793
"CAPITULO 19 PREPARACIONES A BASE DE CEREALES, DE HARINA, DE ALMIDON, DE FECULA O DE LECHE; PRODUCTOS DEPASTELERIA",1680
"CAPITULO 34 JABONES, AGENTES DE SUPERFICIE ORGANICOS,  PREPARACIONES PARA LAVAR, PREPARACIONESLUBRICANTES, CERAS ARTIFICIALES, CERAS PREPARADAS,PRODUCTOS DE LIMPIEZA, VELAS Y ARTICULOS SIMILARES, PASTAS PARA MODELAR, CERAS PARA ODONTOLOGIA Y PREPARACIONES PARA USO EN  ODONTOLOGIA A BASE DE YESO FRAGUABLE.",1632
CAPITULO 21PREPARACIONES ALIMENTICIAS DIVERSAS,1605
"CAPITULO 56 GUATA, FIELTRO Y TELAS SIN TEJER; HILADOS ESPECIALES; CORDELES, CUERDAS Y CORDAJES;ARTICULOS DE CORDELERIA.",1603
"CAPITULO 64 CALZADO, POLAINAS, Y ARTICULOS ANALOGOS;  PARTES DE ESTOS ARTICULOS.",1564
"CAPITULO 68  MANUFACTURAS DE PIEDRA, YESO, CEMENTO, AMIANTO,  MICA O MATERIAS ANALOGAS.",1217
CAPITULO 31  ABONOS,1144
CAPITULO 15 GRASAS Y ACEITES ANIMALES O VEGETALES; PRODUCTOS DE SU DESDOBLAMIENTO; GRASAS ALIMENTICIASELABORADAS; CERAS DE ORIGEN ANIMAL O VEGETAL,975
"CAPITULO 22BEBIDAS, LIQUIDOS ALCOHOLICOS Y VINAGRE",971
CAPITULO 60  GENEROS DE PUNTO,845
CAPITULO 35  MATERIAS ALBUMINOIDEAS; PRODUCTOS A BASE DE ALMIDON O DE FECULA MODIFICADOS; COLAS; ENZIMAS,807
"CAPITULO 28 PRODUCTOS QUIMICOS INORGANICOS;COMPUESTOS  INORGANICOS U ORGANICOS DE METALES PRECIOSOS,DE ELEMENTOS RADIACTIVOS, DE METALES DE LAS  TIERRAS RARAS O DE ISOTOPOS",768
"CAPITULO 20PREPARACIONES DE LEGUMBRES U HORTALIZAS, DE FRUTOS, O DE LAS DEMAS PARTES DE PLANTAS",694
CAPITULO 54 FILAMENTOS SINTETICOS O ARTIFICIALES,673
"CAPITULO 5 LOS DEMAS PRODUCTOS DE ORIGEN ANIMAL, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.",624
"CAPITULO 57 ALFOMBRAS Y DEMAS REVESTIMIENTOS PARA EL SUELO,  DE MATERIAS TEXTILES.",582
CAPITULO 11PRODUCTOS DE LA MOLINERIA; MALTA; ALMIDON YFECULA; INULINA; GLUTEN DE TRIGO,570
"CAPITULO 49  PRODUCTOS EDITORIALES, DE LA PRENSA O DE OTRAS  INDUSTRIAS GRAFICAS; TEXTOS MANUSCRITOS O  MECANOGRAFIADOS Y PLANOS.",562
CAPITULO 74  COBRE Y MANUFACTURAS DE COBRE.,520
CAPITULO 65 TOCADOS Y SUS PARTES,473
CAPITULO 91 APARATOS DE RELOJERIA Y SUS PARTES.,463
CAPITULO 17  AZUCARES Y ARTICULOS DE CONFITERIA,434
CAPITULO 6PLANTAS VIVAS Y PRODUCTOS DE LA FLORICULTURA,427
CAPITULO 24TABACOS Y SUCEDANEOS DEL TABACO ELABORADOS,423
CAPITULO 52 ALGODON,417
CAPITULO 4  LECHE Y PRODUCTOS LACTEOS; HUEVOS DE AVE; MIEL  NATURAL; PRODUCTOS COMESTIBLES DE ORIGEN ANIMAL  NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.,365
CAPITULO 18 CACAO Y SUS PREPARACIONES,297
CAPIULO 58TEJIDOS ESPECIALES; SUPERFICIES TEXTILES CON PELOINSERTADO; ENCAJES; TAPICERIA; PASAMANERIA;BORDADOS.,269
"CAPITULO 59  TEJIDOS IMPREGNADOS, RECUBIERTOS, REVESTIDOS O  ESTRATIFICADOS; ARTICULOS TECNICOS DE MATERIASTEXTILES.",257
"CAPITULO 71PERLAS NATURALES O CULTIVADAS, PIEDRAS PRECIOSAS,  SEMIPRECIOSAS O SIMILARES, METALES PRECIOSOS, CHAPADOS DE METALES PRECIOSOS Y MANUFACTURAS DEESTAS MATERIAS; BISUTERIA; MONEDAS.",244
"CAPITULO 9  CAFE, TE, YERBA MATE Y ESPECIAS",234
CAPITULO 55  FIBRAS SINTETICAS O ARTIFICIALES DISCONTINUAS.,209
CAPITULO 41PIELES (EXCEPTO LA PELETERIA) Y CUEROS,201
"CAPITULO 47  PASTA DE MADERA O DE OTRAS MATERIAS FIBROSAS CELULOSICAS ,DESPERDICIOS Y DESECHOS DE PAPEL ODE CARTON.",184
"CAPITULO 67 PLUMAS Y PLUMON PREPARADOS Y ARTICULOS DE PLUMAS  O DE PLUMON; FLORES, ARTIFICIALES; MANUFACTURASDE CABELLO.",179
CAPITULO 92  INSTRUMENTOS DE MUSICA; PARTES Y ACCESORIOS DEESTOS INSTRUMENTOS,164
"CAPITULO 16PREPARACIONES DE CARNE, DE PESCADO O DE  CRUSTACEOS, DE MOLUSCOS O DE LOS DEMAS INVERTEBRADOS ACUATICOS",154
"CAPITULO 88AERONAVES, VEHICULOS ESPACIALES Y SUS PARTES",116
"CAPITULO 66  PARAGUAS, SOMBRILLAS, QUITASOLES, BASTONES, BASTONES ASIENTO, LATIGOS, FUSTAS, Y SUS PARTES",94
CAPITULO 79 CINC Y MANUFACTURAS DE CINC,87
CAPITULO 1 ANIMALES VIVOS,85
CAPITULO 37PRODUCTOS FOTOGRAFICOS O CINEMATOGRAFICOS,84
"CAPITULO 13GOMAS, RESINAS Y DEMAS JUGOS Y EXTRACTOS  VEGETALES",82
CAPITULO 93  ARMAS Y MUNICIONES; SUS PARTES Y ACCESORIOS,79
"CAPITULO 86 VEHICULOS Y MATERIAL PARA VIAS FERREAS OSIMILARES Y SUS PARTES; APARATOS MECANICOS, (INCLUSO ELECTROMECANICOS) DE SE?ALIZACION PARA  VIAS DE COMUNICACION",70
CAPITULO 36 POLVORAS Y EXPLOSIVOS; ARTICULOS DE PIROTECNIA;  FOSFOROS (CERILLAS); ALEACIONES PIROFORICAS;  MATERIAS INFLAMABLES.,49
CAPITULO 46  MANUFACTURAS DE ESPARTERIA O DE CESTERIA,42
"CAPITULO 26 MINERALES, ESCORIAS Y CENIZAS",38
CAPITULO 78PLOMO Y MANUFACTURAS DE PLOMO,35
"CAPITULO 3  PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS  INVERTEBRADOS ACUATICOS.",34
CAPITULO 89 BARCOS Y DEMAS ARTEFACTOS FLOTANTES,30
CAPITULO 81LOS DEMAS METALES COMUNES; CERMETS;MANUFACTURAS DE ESTAS MATERIAS.,25
CAPITULO 97OBJETOS DE ARTE O DE COLECCION Y ANTIGUEDADES,16
CAPITULO 43 PELETERIA Y CONFECCIONES DE PELETERIA; PELETERIA ARTIFICIAL (FACTCIA),10
CAPITULO 75  NIQUEL Y MANUFACTURAS DE NIQUEL,9
CAPITULO 45CORCHO Y MANUFACTURAS DE CORCHO,6
CAPITULO 80ESTA?O Y MANUFACTURAS DE ESTA?O,5
"CAPITULO 53 LAS DEMAS FIBRAS TEXTILES VEGETALES,  HILADOS DE PAPEL Y TEJIDOS DE HILADOS DE PAPEL",4
"CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES",2
"CAPITULO 14  MATERIAS TREZABLES Y DEMAS PRODUCTOS DE ORIGENVEGETAL, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE",1
CAPITULO 50 MATERIAS TEXTILES Y SUS MANUFACTURAS.,1
CAPITULO 51LANA Y PELO FINO U ORDINARIO; HILADOS Y TEJIDOSDE CRIN.,1
