AÑO,POSICION,DESCPOSICION
2022,1701.14.00.000K,"CAPITULO 17  AZUCARES Y ARTICULOS DE CONFITERIA  AZUCAR DE CA¿A O DE REMOLACHA Y SACAROSA QUIMICAMENTE PURA, EN ESTADO SOLIDO. -Az¿car en bruto sin adici¿n de aromatizante ni colorante:  -Az¿car en bruto sin adici¿n de aromatizante ni colorante:     - - Los dem¿s az¿cares de ca¿a"
2022,8421.21.00.000W,BIENES DE CAPITAL  CENTRIFUGADORAS INCLUIDAS LAS SECADORAS CENTRIFUGAS; APARATOS PARA FILTRAR O DEPURAR LIQUIDOS O GASES. -Aparatos para filtrar o depurar l¿quidos.  -Aparatos para filtrar o depurar l¿quidos.   --Para filtrar o depurar agua.  --Para filtrar o depurar agua.
2022,8481.80.19.000W,"BIENES DE CAPITAL  ARTICULOS DE GRIFERIA Y ORGANOS SIMILARES PARATUBERIAS, CALDERAS, DEPOSITOS, CUBAS OCONTINENTES SIMILARES, INCLUIDAS LAS VALVULASREDUCTORAS DE PRESION Y LAS VALVULASTERMOSTATICAS    -Los dem¿s art¿culos de grifer¿a y ¿rganos similares.    De los tipos utilizados en ba¿os o cocinas.       Los dem¿s."
2022,8413.70.80.000Z,"BIENES DE CAPITAL  BOMBAS PARA LIQUIDOS, INCLUSO CON DISPOSITIVOMEDIDOR INCORPORADO;ELEVADORES DE LIQUIDOS.    -Las dem¿s bombas centr¿fugas.       Las dem¿s, de caudal inferior o igual a   300 l/min."
2022,9019.10.00.000E,"CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  APARATOS DE MECANOTERAPIA; APARATOS PARA MASAJES; APARATOS DE SICOTECNIA; APARATOS DE OZONOTERAPIA; OXIGENOTERAPIA O AEROSOLTERAPIA, APARATOS RESPIRATORIOS DE REANIMACION Y DEMAS APARATOS DE TERAPIA RESPIRATORIA.        -Aparatos de mecanoterapia; aparatos para masajes; aparatos de sicotecnia"
2022,8311.90.00.000F,"CAPITULO 83 MANUFACTURAS DIVERSAS DE METALES COMUNES.  ALAMBRE, VARILLAS, TUBOS, PLACAS, ELECTRODOS YARTICULOS SIMILARES, DE METAL COMUN O CARBUROS METALICOS, RECUBIERTOS O RELLENOS DE DECAPANTES O FUNDENTES, PARA SOLDADURA ODEPOSITO DE METAL O CARBUROS METALICOS;ALAMBRE Y VARILLAS, DE POLVO DE METAL COMUNAGLOMERADO, PARA METALIZACION POR PROYECCION.         - Los dem¿s"
2022,9404.90.00.000F,"CAPITULO 94MUEBLES; MOBILIARIO MEDICOQUIRURGICO; ARTICULOS  DE CAMA Y SIMILARES; APARATOS DE ALUMBRADO NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE;  ANUNCIOS LUMINOSOS, LETREROS LUMINOSOS, PLACASINDICADORAS LUMINOSAS Y ARTICULOS SIMILARES; CONSTRUCCIONES PREFABRICADAS  SOMIERES; ARTICULOS DE CAMA Y ARTICULOS SIMILARES(POR EJEMPLO: COLCHONES, CUBREPIES, EDREDONES, COJINES, PUFES, ALMOHADAS), CON MUELLES(RESORTES) O RELLENOS O GUARNECIDOS INTERIORMENTE CON CUALQUIER MATERIA, INCLUIDOSLOS DE CAUCHO O PLASTICO CELULAR, RECUBIERTOS O NO.        -Los dem¿s."
2022,8523.52.90.000G,"CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  SOPORTES PREPARADOS PARA GRABAR SONIDO O     GRABACIONES ANALOGAS, SIN GRABAR, EXCEPTO LOSPRODUCTOS DEL CAPITULO 37. - Soportes semiconductores:  - Soportes semiconductores: -- Tarjetas inteligentes (¿smart cards¿)    Las dem¿s"
2022,8529.10.90.000M,"CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS APARATOS DE LAS PARTIDAS85.25 A 85.28.    - Antenas y reflectores de antena de cualquier tipo; partes identificables para ser utilizadas con dichos art¿culos     Los demas     Las dem?s."
2022,8418.69.99.000N,"BIENES DE CAPITAL  REFRIGERADORES, CONGELADORES Y DEMAS MATERIAL, MAQUINAS Y APARATOS PARA LA PRODUCCION DE FRIO, AUNQUE NO SEAN ELECTRICOS; BOMBAS DE CALOR, EXCEPTO LAS MAQUINAS Y APARATOS PARA ELACONDICIONAMIENTO DE AIRE DE LA PARTIDA NRO. 84.15. -Los dem¿s materiales, m¿quinas y aparatos para la producci¿n de fr¿o; bombas de calor.  -Los dem¿s materiales, m¿quinas y aparatos para la producci¿n de fr¿o; bombas de calor. --Los dem¿s.    Los dem¿s       Los dem¿s"
2022,8418.40.00.000W,"BIENES DE CAPITAL  REFRIGERADORES, CONGELADORES Y DEMAS MATERIAL, MAQUINAS Y APARATOS PARA LA PRODUCCION DE FRIO, AUNQUE NO SEAN ELECTRICOS; BOMBAS DE CALOR, EXCEPTO LAS MAQUINAS Y APARATOS PARA ELACONDICIONAMIENTO DE AIRE DE LA PARTIDA NRO. 84.15.      -Congeladores verticales del tipo armario, decapacidad inferior o igual a 900 l.  -Congeladores verticales del tipo armario, de capacidad inferior o igual a 900 l."
2022,7324.10.00.000K,"CAPITULO 73 MANUFACTURAS DE FUNDICION, DE HIERRO O DE  ACERO.  ARTICULOS PARA HIGIENE O TOCADOR, Y SUS PARTES, DE FUNDICION, HIERRO O ACERO.        -Fregaderos (piletas de lavar) y lavabos, de acero inoxidable."
2022,8418.50.90.000Y,"BIENES DE CAPITAL  REFRIGERADORES, CONGELADORES Y DEMAS MATERIAL, MAQUINAS Y APARATOS PARA LA PRODUCCION DE FRIO, AUNQUE NO SEAN ELECTRICOS; BOMBAS DE CALOR, EXCEPTO LAS MAQUINAS Y APARATOS PARA ELACONDICIONAMIENTO DE AIRE DE LA PARTIDA NRO. 84.15.     -  Los dem¿s muebles (armarios, arcones (cofres), vitrinas, mostradores y similares) para la  conservaci¿n y exposici¿n de productos, que incorporen un equipo para producci¿n  de fr¿o       Los dem¿s."
2022,8438.80.90.000G,"BIENES DE CAPITAL  MAQUINAS Y APARATOS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE DE ESTE CAPITULO PARALA PREPARACION O LA FABRICACION INDUSTRIAL DE ALIMENTOS O DE BEBIDAS, EXCEPTO LAS MAQUINAS YAPARATOS PARA LA EXTRACCION O LA PREPARACION DEACEITES O GRASAS, VEGETALES FIJOS O ANIMALES.    -Las dem¿s m¿quinas y aparatos.       Los dem¿s."
2022,4810.92.90.000X,"CAPITULO 48 PAPEL Y CARTON; MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  PAPEL Y CARTON, ESTUCADOS POR UNA O LAS DOS CARAS CON CAOLIN U OTRAS SUSTANCIAS INORGANICAS,CON AGLUTINANTE O SIN EL, CON EXCLUSION DECUALQUIER OTRO ESTUCADO O RECUBRIMIENTO,INCLUSO COLOREADOS O DECORADOS EN LA SUPERFICIE O IMPRESOS, EN BOBINAS (ROLLOS) O EN HOJAS DE FORMA CUADRADA O RECTANGULAR, DE CUALQUIER TAMA¿O. -Los dem¿s papeles y cartones:  -Los dem¿s papeles y cartones: --Multicapas       Los dem¿s"
2022,9603.29.00.000J,"CAPITULO 96 MANUFACTURAS DIVERSAS  ESCOBAS, CEPILLOS Y BROCHAS, AUNQUE SEAN PARTESDE MAQUINAS, APARATOS O VEHICULOS, ESCOBAS MECANICAS DE USO MANUAL, EXCEPTO LASDE MOTOR, PINCELES Y PLUMEROS; CABEZAS PREPARADASPARA ARTICULOS DE CEPILLERIA; ALMOHADILLAS Y RODILLOS, PARA PINTAR; RASQUETAS DE CAUCHO OMATERIA FLEXIBLE ANALOGA. -Cepillos de dientes, brochas de afeitar, cepillos para cabello, pesta¿as o u¿as y dem¿s cepillos para aseo personal, incluidos los que sean partes de aparatos:  -Cepillos de dientes, brochas de afeitar, cepillos para cabello, pesta¿as o u¿as y dem¿s cepillos para aseo personal, incluidos los que sean partes de aparatos:     --Los dem¿s."
2022,8539.10.10.000E,"CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  LAMPARAS Y TUBOS ELECTRICOS DE INCANDESCENCIAO DE DESCARGA, INCLUIDOS LOS FAROS O UNIDADES""SELLADOS"" Y LAS LAMPARAS Y TUBOS DE RAYOSULTRAVIOLETAS O INFRARROJOS; LAMPARAS DE ARCO.    -Faros o unidades ""sellados"".       Para tensi¿n inferior o igual a 15 V."
2022,8543.70.99.000W,"CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  MAQUINAS Y APARATOS ELECTRICOS CON UNA FUNCION PROPIA, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE DE ESTE CAPITULO.    - Las dem¿s m¿quinas y aparatos:       Los dem¿s     Los dem¿s  Los demas"
2022,8481.80.92.000W,"BIENES DE CAPITAL  ARTICULOS DE GRIFERIA Y ORGANOS SIMILARES PARATUBERIAS, CALDERAS, DEPOSITOS, CUBAS OCONTINENTES SIMILARES, INCLUIDAS LAS VALVULASREDUCTORAS DE PRESION Y LAS VALVULASTERMOSTATICAS    -Los dem¿s art¿culos de grifer¿a y ¿rganos similares.    Los dem¿s.       V¿lvulas solenoides."
2022,8511.80.90.000T,"CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  APARATOS Y DISPOSITIVOS ELECTRICOS DE ENCENDIDO ODE ARRANQUE, PARA MOTORES DE ENCENDIDO POR CHISPAO POR COMPRESION (POR EJEMPLO: MAGNETOS, DINAMOMAGNETOS, BOBINAS DE ENCENDIDO, BUJIAS DE ENCENDIDO O DE CALDEO (CALENTAMIENTO), MOTORES DEARRANQUE); GENERADORES (POR EJEMPLO: DINAMOS,ALTERNADORES) Y REGULADORES DISYUNTORESUTILIZADOS CON ESTOS MOTORES.    -Los dem¿s aparatos y dispositivos.       Los dem¿s."
2022,2202.10.00.000G,"CAPITULO 22BEBIDAS, LIQUIDOS ALCOHOLICOS Y VINAGRE  AGUA, INCLUIDAS EL AGUA MINERAL Y LA GASEADA, CONADICION DE AZUCAR U OTRO EDULCORANTE OAROMATIZADA, Y DEMAS BEBIDAS NO ALCOHOLICAS, EXCEPTO LOS JUGOS DE FRUTAS U OTROS FRUTOS O DE HORTALIZAS(INCLUSO ""SILVESTRES"") DE LA PARTIDA NRO.2009.        -Agua, incluidas el agua mineral y la gaseada, con adici¿n de az¿car u otro edulcorante o aromatizada."
2022,8544.20.00.000M,"CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  HILOS, CABLES (INCLUIDOS LOS COAXIALES) Y DEMASCONDUCTORES AISLADOS PARA ELECTRICIDAD, AUNQUEESTEN LAQUEADOS; ANODIZADOS O LLEVEN PIEZAS DECONEXION; CABLES DE FIBRAS OPTICAS CONSTITUIDOSPOR FIBRAS ENFUNDADAS INDIVIDUALMENTE, INCLUSOPROVISTOS DE CONDUCTORES ELECTRICOS O CON PIEZASDE CONEXION INCORPORADAS.        -Cables y dem¿s conductores el¿ctricos, coaxiales."
2022,8214.20.00.000F,"CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES; PARTESDE ESTOS ARTICULOS, DE METALES COMUNES  LOS DEMAS ARTICULOS DE CUCHILLERIA (POR EJEMPLO:MAQUINAS DE CORTAR EL PELO O ESQUILAR, CUCHILLAS DE PICAR CARNE, TAJADERAS DE CARNICERIA O  COCINA Y CORTAPAPELES); HERRAMIENTAS Y JUEGOS DE HERRAMIENTAS PARA MANICURA O PEDICURO (INCLUIDAS LAS LIMAS PARA U¿AS).        -Herramientas y juegos de herramientas para manicura o  pedicuro (incluidas las limas para u¿as)."
2022,3920.99.90.000Z,"CAPITULO 39 MATERIAS PLASTICAS Y MANUFACTURAS DE ESTAS  MATERIAS  LAS DEMAS PLACAS, LAMINAS, HOJAS, Y TIRAS, DE PLASTICO NO CELULAR Y SIN REFUERZO, ESTRATIFICACION NI SOPORTE O COMBINACION SIMILAR CON OTRAS MATERIAS. -De los dem¿s pl¿sticos:  -De los dem¿s pl¿sticos: --De los dem¿s pl¿sticos.       Las dem¿s."
2022,9018.49.99.000T,"CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  INSTRUMENTOS Y APARATOS DE MEDICINA, CIRUGIA, ODONTOLOGIA O VETERINARIA, INCLUIDOS LOSDE CENTELLOGRAFIA Y DEMAS APARATOS ELECTROMEDICOS, ASI COMO LOS APARATOS PARA PRUEBAS VISUALES. -Los dem¿s instrumentos y aparatos de odontolog¿a  -Los dem¿s instrumentos y aparatos de odontolog¿a --Los dem¿s.    Los dem¿s.       Los dem¿s"
2022,3926.30.00.000E,"CAPITULO 39 MATERIAS PLASTICAS Y MANUFACTURAS DE ESTAS  MATERIAS  LAS DEMAS MANUFACTURAS DE PLASTICO Y MANUFACTURASDE LAS DEMAS MATERIAS DE LAS PARTIDAS 39.01 A 39.14        -Guarniciones para muebles, carrocerias o similares."
2022,4016.10.90.000U,CAPITULO 40CAUCHO Y MANUFACTURAS DE CAUCHO.  LAS DEMAS MANUFACTURAS DE CAUCHO VULCANIZADO SIN ENDURECER.    -De caucho celular.     Los demas     Los dem¿s.
2022,4819.50.00.000V,"CAPITULO 48 PAPEL Y CARTON; MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  CAJAS, SACOS (BOLSAS); BOLSITAS, CUCURUCHOS Y DEMAS ENVASES DE PAPEL, CARTON, GUATA DE CELULOSAO NAPAS DE FIBRAS DE CELULOSA; CARTONAJES PARAOFICINA, TIENDA O SIMILARES.        -Los dem?s envases, incluidas las fundas para discos."
2022,8421.29.90.000E,BIENES DE CAPITAL  CENTRIFUGADORAS INCLUIDAS LAS SECADORAS CENTRIFUGAS; APARATOS PARA FILTRAR O DEPURAR LIQUIDOS O GASES. -Aparatos para filtrar o depurar l¿quidos.  -Aparatos para filtrar o depurar l¿quidos. --Los dem¿s.     Los demas     Los demas
2022,8517.62.99.000T,"CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  TEL¿FONOS, INCLUIDOS LOS TEL¿FONOS CELULARES (M¿VILES)* Y LOS DE OTRAS REDES INAL¿MBRICAS; LOS DEM¿S APARATOS DE TRANSMISI¿N O RECEPCI¿N DE VOZ, IMAGEN U OTROS DATOS, INCLUIDOS LOS DE COMUNICACI¿N EN RED CON O SIN 84.43, 85.25, 85.27 U 85.28 - Los dem¿s aparatos de transmisi¿n o recepci¿n de voz, imagen u otros datos, incluidos los de comunicaci¿n en red con o sin cable (tales como redes locales (LAN) o extendidas (WAN))  - Los dem¿s aparatos de transmisi¿n o recepci¿n de voz, imagen u otros datos, incluidos los de comunicaci¿n en red con o sin cable (tales como redes locales (LAN) o extendidas (WAN)) - - Aparatos para la recepci¿n, conversi¿n y transmisi¿n o regeneraci¿n de voz, imagen u otros datos, incluidos los de conmutaci¿n o encaminamiento (¿switching and routing apparatus¿)   Los dem¿s        Los dem¿s"
2022,8704.21.20.000Z,"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  VEHICULOS AUTOMOVILES PARA EL TRANSPORTE DE MERCANCIAS. - Los dem¿s con motor de ¿mbolo (pist¿n), de encendido por compresi¿n (Di¿sel o semi Di¿sel):  - Los dem¿s con motor de ¿mbolo (pist¿n), de encendido por compresi¿n (Di¿sel o semi Di¿sel): --De peso total con carga m¿xima inferior o igual  a 5 t.  --- Con caja basculante.  Con caja basculante"
2022,9018.39.29.100Q,"CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  INSTRUMENTOS Y APARATOS DE MEDICINA, CIRUGIA, ODONTOLOGIA O VETERINARIA, INCLUIDOS LOSDE CENTELLOGRAFIA Y DEMAS APARATOS ELECTROMEDICOS, ASI COMO LOS APARATOS PARA PRUEBAS VISUALES. -Jeringas, agujas, cat¿teres, c¿nulas e instrumentos similares  -Jeringas, agujas, cat¿teres, c¿nulas e instrumentos similares --Los dem¿s.    Sondas, cat¿teres y c¿nulas.     Los dem¿s        Introductores arteriales y venosos, gu¿as diagn¿sticas, cat¿teres diagn¿sticos, cat¿teres gu¿as y microcat¿teres  gu¿as intracoronarias, utilizados exclusivamente en procedimientos endovasculares del ¿rea cardiaca, cerebrovascular y vascular perif¿rico,tanto arteriales como venosos, presentados individualmente o en forma de sistema integral."
2022,0814.00.00.000X,"CAPITULO 8FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS (CITRICOS)  O DE MELONES          CORTEZAS DE AGRIOS (CITRICOS), MELONES O SANDIAS, FRESCAS, CONGELADAS, SECAS O PRESENTADAS EN AGUA SALADA, SUFUROSA O ADICIONADA DE OTRAS SUSTANCIAS PARA SU CONSERVACION PROVISIONAL"
