"2022,8422.90.90.000P,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS PARA LAVAR VAJILLA; MAQUINAS Y APARATOS PARA LIMPIAR O SECAR BOTELLAS O DEMAS RECIPIENTES; MAQUINAS Y APARATOS PARA LLENAR, CERRAR, TAPAR, TAPONAR O ETIQUETAR BOTELLAS, BOTES O LATAS, CAJAS, SACOS (BOLSAS) O DEMAS CONTINENTES; MAQUINAS Y APARATOS PARA CAPSULAR BOTELLAS, TARROS, TUBOS Y CONTINENTES ANALOGOS; LAS DEMAS MAQUINAS Y APARATOS PARA EMPAQUETAR O ENVOLVER MERCANCIAS (INCLUIDAS LAS DE ENVOLVER CON PELICULA TERMORRETRACTIL);" MAQUINAS Y APARATOS PARA GASEAR BEBIDAS.    -Partes.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;
2022,7229.20.00.000K,Capitulos 72 METALES COMUNES Y MANUFACTURAS DE ESTOS METALES.  ALAMBRE DE LOS DEMAS ACEROS ALEADOS.        -De acero silicomagnÃ‚Â¿sico.;;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8512.20.11.000F,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES";" APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  APARATOS ELECTRICOS DE ALUMBRADO O SEÃ‚Â¿ALIZACION (EXCEPTO LOS ARTICULOS LOS DE LA PARTIDA 85.39),LIMPIAPARABRISAS, ELIMINADORESDE ESCARCHA O DE VAHO, ELECTRICOS, DEL TIPO DELOS UTILIZADOS EN VELOCÃ‚Â¿PEDOS O VEHICULOS AUTOMOVILES.    -Los demÃ‚Â¿s aparatos de alumbrado o de  seÃ‚Â¿alizaciÃ‚Â¿n visual.    Aparatos de alumbrado.     Faros      Faros.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,9026.80.00.000U,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS;" PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  INSTRUMENTOS Y APARATOS PARA LA MEDIDA O CONTROL DEL CAUDAL, NIVEL, PRESION U OTRAS CARACTERISTICAS VARIABLES DE LIQUIDOS O GASES (POR EJEMPLO: CAUDALIMETROS, INDICADORES DE NIVEL, MANOMETROS, CONTADORES DE CALOR), EXCEPTO LOS INSTRUMENTOS Y APARATOS DE LAS PARTIDAS 90.14, 90.15, 90.28 O 90.32.        -Los demÃ‚Â¿s instrumentos y aparatos.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8413.30.90.000C,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  BOMBAS PARA LIQUIDOS, INCLUSO CON DISPOSITIVOMEDIDOR INCORPORADO;"ELEVADORES DE LIQUIDOS.    -Bombas de carburante, de aceite o de refrigerante para motores de encendido por chispa o por compresiÃ‚Â¿n.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,9032.20.00.000F,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS;" PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  INSTRUMENTOS Y APARATOS PARA LA REGULACION O ELCONTROL, AUTOMATICOS.    -Manostatos (presostatos)    -MonostÃ‚Â¿tos (presostÃ‚Â¿tos).""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8484.20.00.000N,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  JUNTAS METALOPLASTICAS; SURTIDOS DE JUNTAS DE DISTINTA COMPOSICION PRESENTADOS EN BOLSITAS, SOBRES O ENVASES ANALOGOS;" JUNTAS MECANICAS DE ESTANQUEIDAD.        -Juntas mecÃ‚Â¿nicas de estanqueidad""";;;;;;;;;;;;;;;;;;;;;;;
"2022,8302.30.00.000U,""CAPITULO 83 MANUFACTURAS DIVERSAS DE METALES COMUNES.  GUARNICIONES, HERRAJES Y ARTICULOS SIMILARES DE METAL COMUN, PARA MUEBLES, PUERTAS, ESCALERASVENTANAS, PERSIANAS, CARROCERIAS, ARTICULOS DEGUARNICIONERIA, BAULES, ARCAS, COFRES Y DEMASMANUFACTURAS DE ESTA CLASE"; COLGADORES, PERCHAS,SOPORTES Y ARTICULOS SIMILARES, DE METAL COMUN; RUEDAS CON MONTURAS DE METAL COMUN;" CIERRAPUERTAS AUTOMATICOS DE METAL COMUN.        -Las demÃ‚Â¿s guarniciones, herrajes y artÃ‚Â¿culos similares, para vehÃ‚Â¿culos automÃ‚Â¿viles.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,8536.49.00.000P,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  APARATOS PARA CORTE, SECCIONAMIENTO, PROTECCIÃ‚Â¿N,  DERIVACIÃ‚Â¿N, EMPALME O CONEXIÃ‚Â¿N DE CIRCUITOS ELÃ‚Â¿CTRICOS (POR EJEMPLO: INTERRUPTORES, CONMUTADORES, RELÃ‚Â¿S, CORTACIRCUITOS, SUPRESORES DE SOBRETENSIÃ‚Â¿N TRANSITORIA, CLAVIJAS Y TOMAS DE CORRIENTE (ENCHUFES), PORTALÃ‚Â¿MPARAS Y DEMÃ‚Â¿S CONECTORES, CAJAS DE EMPALME), PARA UNA TENSIÃ‚Â¿N INFERIOR O IGUAL A 1.000 VOLTIOS;" CONECTORES DE FIBRAS Ã‚Â¿PTICAS, HACES O CABLES DE FIBRAS Ã‚Â¿PTICAS. -RelÃ‚Â¿s.  -RelÃ‚Â¿s.     --Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8512.90.00.000M,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES";" APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  APARATOS ELECTRICOS DE ALUMBRADO O SEÃ‚Â¿ALIZACION (EXCEPTO LOS ARTICULOS LOS DE LA PARTIDA 85.39),LIMPIAPARABRISAS, ELIMINADORESDE ESCARCHA O DE VAHO, ELECTRICOS, DEL TIPO DELOS UTILIZADOS EN VELOCÃ‚Â¿PEDOS O VEHICULOS AUTOMOVILES.      -Partes  -Partes.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,7007.21.00.000F,""CAPITULO 70VIDRIO Y MANUFACTURAS DE VIDRIO  VIDRIO DE SEGURIDAD CONSTITUIDO POR VIDRIO     TEMPLADO O FORMADO POR HOJAS SOBREPUESTAS. -Vidrio contrachapado:  -Vidrio contrachapado:     -	De dimensiones y formatos que permitan su empleo en automÃ‚Â¿viles, aeronaves, barcos u otros vehÃ‚Â¿culos""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8414.51.90.000L,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  BOMBAS DE AIRE O DE VACIO, COMPRESORES DE AIRE U OTROS GASES Y VENTILADORES;" CAMPANAS ASPIRANTES PARA EXTRACCION O RECICLADO, CON VENTILADOR INCORPORADO, INCLUSO CON FILTRO. -Ventiladores.  -Ventiladores. --Ventiladores de mesa, pie, pared, cielo raso, techo o ventana, con motor elÃ‚Â¿ctrico incorporado de potencia inferior o igual a 125 W.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,5909.00.00.000U,""CAPITULO 59  TEJIDOS IMPREGNADOS, RECUBIERTOS, REVESTIDOS O  ESTRATIFICADOS";" ARTICULOS TECNICOS DE MATERIASTEXTILES.          MANGUERAS PARA BOMBAS Y TUBOS SIMILARES, DEMATERIA TEXTIL, INCLUSO CON ARMADURA OACCESORIOS DE OTRAS MATERIAS.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8539.10.90.000H,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES";" APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  LAMPARAS Y TUBOS ELECTRICOS DE INCANDESCENCIAO DE DESCARGA, INCLUIDOS LOS FAROS O UNIDADES""""SELLADOS"""" Y LAS LAMPARAS Y TUBOS DE RAYOSULTRAVIOLETAS O INFRARROJOS";" LAMPARAS DE ARCO.    -Faros o unidades """"sellados"""".       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8482.99.90.000W,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  RODAMIENTOS DE BOLAS, DE RODILLOS O DE AGUJAS. -Partes  -Partes --Las demÃ‚Â¿s       Las demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,7009.10.00.000R,""CAPITULO 70VIDRIO Y MANUFACTURAS DE VIDRIO  ESPEJOS DE VIDRIO, ENMARCADOS O NO, INCLUIDOS LOSESPEJOS RETROVISORES.        -Espejos retrovisores para vehÃ‚Â¿culos.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8204.11.00.000H,""CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES"; PARTESDE ESTOS ARTICULOS, DE METALES COMUNES  LLAVES DE AJUSTE DE MANO (INCLUIDAS LAS LLAVESDINAMOMETRICAS);" CUBOS DE AJUSTE INTERCAMBIABLES,INCLUSO CON MANGO. -LLaves de ajuste de mano:  -LLaves de ajuste de mano:     --De boca fija.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,9026.10.29.000H,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS;" PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  INSTRUMENTOS Y APARATOS PARA LA MEDIDA O CONTROL DEL CAUDAL, NIVEL, PRESION U OTRAS CARACTERISTICAS VARIABLES DE LIQUIDOS O GASES (POR EJEMPLO: CAUDALIMETROS, INDICADORES DE NIVEL, MANOMETROS, CONTADORES DE CALOR), EXCEPTO LOS INSTRUMENTOS Y APARATOS DE LAS PARTIDAS 90.14, 90.15, 90.28 O 90.32.    -Para medida o control del caudal o nivel de lÃ‚Â¿quidos.    Para medida o control de nivel       Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8511.80.20.000Z,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  APARATOS Y DISPOSITIVOS ELECTRICOS DE ENCENDIDO ODE ARRANQUE, PARA MOTORES DE ENCENDIDO POR CHISPAO POR COMPRESION (POR EJEMPLO: MAGNETOS, DINAMOMAGNETOS, BOBINAS DE ENCENDIDO, BUJIAS DE ENCENDIDO O DE CALDEO (CALENTAMIENTO), MOTORES DEARRANQUE);" GENERADORES (POR EJEMPLO: DINAMOS,ALTERNADORES) Y REGULADORES DISYUNTORESUTILIZADOS CON ESTOS MOTORES.    -Los demÃ‚Â¿s aparatos y dispositivos.     Reguladores disyuntores     Reguladores disyuntores.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,6813.20.00.900H,""CAPITULO 68  MANUFACTURAS DE PIEDRA, YESO, CEMENTO, AMIANTO,  MICA O MATERIAS ANALOGAS.  GUARNICIONES DE FRICCION (POR EJEMPLO: HOJAS, ROLLOS, TIRAS, SEGMENTOS, DISCOS, ARANDELAS,PLAQUITAS) SIN MONTAR, PARA FRENOS, PARA EMBRAGUES O PARA CUALQUIER ORGANO DE FROTAMIENTO,A BASE DE AMIANTO (ASBESTO), DE OTRAS SUSTANCIASMINERALES O DE CELULOSA, INCLUSO COMBINADAS CON TEXTILES O DEMAS MATERIAS.      -Que contengan amianto (asbesto)        Las demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8708.29.94.000T,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  PARTES Y ACCESORIOS PARA VEHICULOS AUTOMOVILES DELAS PARTIDAS 87.01 A 87.05. - Las demÃ‚Â¿s partes y accesorios de carrocerÃ‚Â¿a (incluidas las de cabina):  - Las demÃ‚Â¿s partes y accesorios de carrocerÃ‚Â¿a (incluidas las de cabina): --Los demÃ‚Â¿s.    Los demÃ‚Â¿s.       Paneles de instrumentos.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,7318.21.00.000P,""CAPITULO 73 MANUFACTURAS DE FUNDICION, DE HIERRO O DE  ACERO.  TORNILLOS, PERNOS, TUERCAS, TIRAFONDOS, ESCARPIAS ROSCADAS, REMACHES, PASADORES,CLAVIJAS, CHAVETAS, ARANDELAS (INCLUIDAS LASARANDELAS DE MUELLE (RESORTE)) Y ARTICULOSSIMILARES, DE FUNDICION, HIERRO O ACERO. -ArtÃ‚Â¿culos sin rosca:  -ArtÃ‚Â¿culos sin rosca:     --Arandelas de muelle(resorte) y las demÃ‚Â¿s de seguridad.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8409.91.15.000Z,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS MOTORES DE LAS PARTIDAS 84.07 U 84.08. -Las demÃ‚Â¿s.  -Las demÃ‚Â¿s. --Identificables como destinadas, exclusiva o  principalmente, a los motores de Ã‚Â¿mbolo  (pistÃ‚Â¿n) de encendido por chispa.    Bielas, bloques, culatas, cÃ‚Â¿rteres,   carburadores, vÃ‚Â¿lvulas de admisiÃ‚Â¿n o de   escape, tubos mÃ‚Â¿ltiples de admisiÃ‚Â¿n o de   escape, aros de Ã‚Â¿mbolo (pistÃ‚Â¿n) y guÃ‚Â¿as de   vÃ‚Â¿lvulas.       Tubos mÃ‚Â¿ltiples de admisiÃ‚Â¿n o de escape.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8409.91.18.000X,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS MOTORES DE LAS PARTIDAS 84.07 U 84.08. -Las demÃ‚Â¿s.  -Las demÃ‚Â¿s. --Identificables como destinadas, exclusiva o  principalmente, a los motores de Ã‚Â¿mbolo  (pistÃ‚Â¿n) de encendido por chispa.    Bielas, bloques, culatas, cÃ‚Â¿rteres,   carburadores, vÃ‚Â¿lvulas de admisiÃ‚Â¿n o de   escape, tubos mÃ‚Â¿ltiples de admisiÃ‚Â¿n o de   escape, aros de Ã‚Â¿mbolo (pistÃ‚Â¿n) y guÃ‚Â¿as de   vÃ‚Â¿lvulas.       Los demas carburadores""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8714.10.00.000Z,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  PARTES Y ACCESORIOS PARA VEHICULOS DE LASPARTIDAS 87.11 A 87.13. -Para motocicletas(incluidos los ciclomotores):  -Para motocicletas(incluidos los ciclomotores):     - Para motocicletas (incluidos los ciclomotores)""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8409.91.14.000R,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS MOTORES DE LAS PARTIDAS 84.07 U 84.08. -Las demÃ‚Â¿s.  -Las demÃ‚Â¿s. --Identificables como destinadas, exclusiva o  principalmente, a los motores de Ã‚Â¿mbolo  (pistÃ‚Â¿n) de encendido por chispa.    Bielas, bloques, culatas, cÃ‚Â¿rteres,   carburadores, vÃ‚Â¿lvulas de admisiÃ‚Â¿n o de   escape, tubos mÃ‚Â¿ltiples de admisiÃ‚Â¿n o de   escape, aros de Ã‚Â¿mbolo (pistÃ‚Â¿n) y guÃ‚Â¿as de   vÃ‚Â¿lvulas.       VÃ‚Â¿lvulas de admisiÃ‚Â¿n o de escape.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8409.91.17.000P,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS MOTORES DE LAS PARTIDAS 84.07 U 84.08. -Las demÃ‚Â¿s.  -Las demÃ‚Â¿s. --Identificables como destinadas, exclusiva o  principalmente, a los motores de Ã‚Â¿mbolo  (pistÃ‚Â¿n) de encendido por chispa.    Bielas, bloques, culatas, cÃ‚Â¿rteres,   carburadores, vÃ‚Â¿lvulas de admisiÃ‚Â¿n o de   escape, tubos mÃ‚Â¿ltiples de admisiÃ‚Â¿n o de   escape, aros de Ã‚Â¿mbolo (pistÃ‚Â¿n) y guÃ‚Â¿as de   vÃ‚Â¿lvulas.       GuÃ‚Â¿as de vÃ‚Â¿lvulas.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8409.91.90.000P,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  PARTES IDENTIFICABLES COMO DESTINADAS, EXCLUSIVAO PRINCIPALMENTE, A LOS MOTORES DE LAS PARTIDAS 84.07 U 84.08. -Las demÃ‚Â¿s.  -Las demÃ‚Â¿s. --Identificables como destinadas, exclusiva o  principalmente, a los motores de Ã‚Â¿mbolo  (pistÃ‚Â¿n) de encendido por chispa.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;
2022,1806.90.00.000Z,CAPITULO 18 CACAO Y SUS PREPARACIONES  CHOCOLATE Y DEMAS PREPARACIONES ALIMENTICIAS QUE CONTENGAN CACAO.      -Los demas  -Los demÃ‚Â¿s.;;;;;;;;;;;;;;;;;;;;;;;;;;
2022,1704.90.90.000U,CAPITULO 17  AZUCARES Y ARTICULOS DE CONFITERIA  ARTICULOS DE CONFITERIA SIN CACAO (INCLUIDOEL CHOCOLATE BLANCO).    -Los demÃ‚Â¿s.       Los demÃ‚Â¿s.;;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,1704.90.20.000A,""CAPITULO 17  AZUCARES Y ARTICULOS DE CONFITERIA  ARTICULOS DE CONFITERIA SIN CACAO (INCLUIDOEL CHOCOLATE BLANCO).    -Los demÃ‚Â¿s.       Bombones, caramelos, confites y pastillas.""";;;;;;;;;;;;;;;;;;;;;;;;;;
